time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-11 17:00:00,30.3,30,1008.7,12.8,19.2,20.2,21.0,142,142,141,141,361.5,343.7,2023-06-11 16:15:00,1
2023-06-11 18:00:00,28.5,41,1008.9,9.7,15.2,16.0,16.5,149,149,149,148,230.4,123.7,2023-06-11 16:15:00,1
2023-06-11 19:00:00,28.1,43,1009.3,9.9,15.3,16.1,16.6,147,146,146,146,158.7,212.3,2023-06-11 16:15:00,1
2023-06-11 20:00:00,26.2,55,1010.1,9.8,15.0,15.3,15.3,204,204,204,204,211.0,197.8,2023-06-11 16:15:00,1
2023-06-11 21:00:00,24.8,58,1010.7,6.9,11.6,11.9,11.9,186,187,185,183,143.8,35.0,2023-06-11 16:15:00,1
2023-06-11 22:00:00,23.2,63,1011.0,3.5,6.8,7.0,6.7,204,205,201,196,3.2,0.0,2023-06-11 16:15:00,1
2023-06-11 23:00:00,22.2,68,1011.1,0.5,2.2,2.6,2.2,135,189,196,180,0.0,0.0,2023-06-11 16:15:00,1
2023-06-12 00:00:00,20.6,73,1011.0,3.6,4.1,1.9,1.5,53,75,112,166,0.0,0.0,2023-06-11 16:15:00,1
2023-06-12 01:00:00,19.6,74,1010.9,4.6,8.7,5.9,3.6,39,48,52,37,0.0,0.0,2023-06-11 16:15:00,1
2023-06-12 02:00:00,18.9,75,1010.9,4.1,9.2,9.5,6.8,45,51,61,58,0.0,0.0,2023-06-11 16:15:00,1
2023-06-12 03:00:00,18.6,76,1010.7,4.7,10.4,12.2,11.2,86,88,88,88,0.0,0.0,2023-06-11 16:15:00,1
2023-06-12 04:00:00,18.4,77,1010.6,3.5,7.3,8.6,9.0,66,81,90,90,0.0,0.0,2023-06-11 16:15:00,1
2023-06-12 05:00:00,18.1,78,1010.6,3.7,7.3,8.3,9.2,61,81,92,101,0.0,0.0,2023-06-11 16:15:00,1
